ime,država,zvrst,leto,status
Abattoir,United States,"Speed,Power",1982,2
Satanic Slaughter,Sweden,"Thrash,Death,Black",1985,3
The Abyss,Sweden,Black,1994,3
Black Steel,Australia,"Heavy,Power",1999,1
Wolverine,Sweden,Progressive,1995,1
Acid,Belgium,Speed,1980,3
Acid Death,Greece,"Thrash,Death,Progressive",1989,1
Feanor,Argentina,Heavy,1996,1
Acid King,United States,"Stoner,Doom",1993,1
Betray My Secrets,Germany,"Gothic,Doom,Atmospheric,Folk",1997,3
Acid Reign,United Kingdom,Thrash,1985,1
Heavens Gate,Germany,"Heavy,Power",1987,3
Acrimony,United Kingdom,"Death,Stoner,Doom",1991,3
ADX,France,"Heavy,Speed",1982,1
Afflicted,Sweden,"Technical,Death,Power,Progressive",1990,3
After Forever,Netherlands,"Symphonic,Gothic,Power",1995,3
Aftermath,United States,"Technical,Thrash,Progressive",1985,1
Nokturnal Mortum,Ukraine,"Symphonic,Black,Folk",1994,1
Agent Steel,United States,"Thrash,Speed,Power",1984,2
Aghora,United States,"Fusion,Jazz,Progressive",1995,1
Alastis,Switzerland,Black,1989,3
Alcatrazz,United States,"Heavy,Shred",1983,3
Tankard,Germany,Thrash,1983,1
Amsvartner,Sweden,"Melodic,Death,Black",1994,3
Angel Witch,United Kingdom,"Heavy,NWOBHM",1978,1
Angra,Brazil,"Progressive,Power",1991,1
Annon Vin,Germany,Progressive,nan,3
Anthem,Japan,Heavy,1981,1
Antithesis,United States,"Thrash,Progressive,Power",1997,2
Anvil,Canada,"Heavy,Power",1981,1
Anvil Bitch,United States,Thrash,1983,1
W.A.S.P.,United States,"Heavy,Hard,Rock",1982,1
Abstrakt Algebra,Sweden,"Technical,Doom,Power",1994,3
Afterworld,Finland,Power,1993,1
Pain of Salvation,Sweden,"Progressive,Rock",1984,1
Jag Panzer,United States,"Heavy,Power",1981,1
Control Denied,United States,"Power,Progressive",1995,3
Tren Loco,Argentina,"Heavy,Speed",1990,1
Crystal Abyss,Russia,"Symphonic,Black",1999,1
Martyr,Canada,"Technical,Death",1994,3
ÐÐ°ÑÐ´Ð°ÑÐ¸ÐºÐ°,Russia,"Thrash,Progressive",1995,1
Memento Mori,Sweden,"Doom,Power",1992,5
KrÃ¼ger,Russia,"Thrash,Death,Speed,Power",1989,1
Overlorde,United States,Heavy,1985,1
Catamenia,Finland,"Melodic,Gothic,Death,Black",1995,1
Catastrophic,United States,Death,1999,3
