ime,drz,zvrst,leto,status
Pearly White,Sweden,Heavy Metal,1994,Split-up
Heirdrain,Canada,Black Metal/Ambient/Drone,N/A,Active
Efaistos,Canada,Melodic Thrash/Death Metal,2001,Active
Fighter,United States,Heavy Metal,N/A,Split-up
D.R. Korea,United Kingdom,Thrash Metal/Crossover,1990,Split-up
RhÃ»nhule,Spain,Black Metal,2007,Split-up
Prolapse,United Kingdom,Thrash Metal,N/A,Split-up
Sacrodeath,Chile,Death/Thrash Metal,2004,Active
Sex Trade,Belarus,Industrial/Thrash Metal,2005,Active
Humberstone,Chile,Stoner/Doom Metal/Rock,2000,Active
Crusher,Taiwan,Melodic Death/Thrash Metal,N/A,Active
Solemn,Taiwan,Thrash Metal/Metalcore,2006,Active
Park 'n Ride,Germany,Melodic Heavy Metal,1999,Unknown
Despised,Germany,Death Metal,2001,Active
Mystic Messiah,Germany,Melodic Thrash Metal,2001,Active
Dethklok,United States,Melodic Death Metal,2006,Split-up
Contorsion,Switzerland,Thrash Metal,2004,Active
High Blood Pressure,Poland,Progressive Metal,2004,Active
Hazemat,Switzerland,Thrash Metal/Crossover,2005,Split-up
Odium,Russia,"Death Metal (early), Progressive Metal (later)",1991,Split-up
Trioxin,United States,Death Metal,1999,Split-up
Demolition Project,Argentina,Thrash Metal,2006,Active
Necrum,Mexico,Death Metal,1994,Split-up
S.D.M.,Mexico,Thrash Metal,1989,Split-up
Ateo,Mexico,Heavy/Thrash Metal,1988,Active
Meatshank,United States,Thrash Metal/Crossover,2005,Active
Beeroth,Mexico,Black Metal,1999,Active
Totenkopf,Poland,Melodic Death Metal,2004,Active
Bloody Mary,France,Power Metal,1997,Split-up
Damnation Call,Switzerland,Death Metal,1994,Active
Last Minute,Italy,Gothic Metal,1996,Active
Oxidation,United States,Thrash Metal,2005,Active
Feeling Machine,France,Progressive Metal,N/A,Unknown
Thrash Inside,Hungary,Thrash Metal with Hardcore influences,2003,Unknown
Frank's Enemy,United States,"Thrash Metal (early), Death/Thrash Metal (mid), Death/Thrash Metal/Grindcore/Hardcore (later)",1991,Active
Demise,Venezuela,Death Metal,1992,Active
Hell Inside,Chile,Thrash Metal,2004,Split-up
Lords of the Mountain,Canada,Viking/Folk Metal,2007,Active
Hollow Corp.,France,Sludge/Thrash/Death Metal,2005,Split-up
Mammoth,United Kingdom,Ambient/Drone/Doom Metal,2005,Changed name
Departed,Poland,Melodic Death Metal/Metalcore,2005,Active
Blood Wolf,Colombia,Atmospheric Death Metal,2007,On hold
Ammunition,Philippines,Thrash Metal/Crossover,2002,Active
Armatura,United States,Thrash/Groove Metal/Metalcore,2003,Split-up
Executed,Mexico,Thrash/Death Metal,1999,Active
Arya,Germany,Melodic Power Metal,2000,Active
DistortedFate,United States,Heavy Metal,2006,Active
Cerosin Cowboys,Germany,Progressive/Power Metal,N/A,Split-up
Gerry Tentler,Germany,Progressive Melodic Heavy Metal,1997,Active
MÃ¶nsters,Germany,Death/Thrash Metal,1988,Split-up
Burning Beneath,United Kingdom,Thrash Metal/Metalcore,2004,Unknown
Syren,United States,Heavy/Power Metal,1985,Split-up
Stirba,Slovakia,Thrash Metal,1987,Split-up
Lostbone,Poland,Metalcore,2005,Active
Tyrant,Australia,Heavy Metal,1983,Active
Immaterial Creation,Greece,Symphonic/Atmospheric Black Metal,2005,Active
None Valueless Art,Germany,Pagan/Viking/Black Metal,1999,Active
Deggial,Turkey,Black Metal,2006,Active
Bereavement,France,Death Metal,2004,Split-up
Heaven's Force,United States,Power/Speed/Thrash Metal,1983,Split-up
Nancial,Russia,Melodic Death Metal/Metalcore,2005,Active
SinfonÃ­a CÃ©ltica,Mexico,Melodic Heavy Metal,2004,Active
Killing Frost,Japan,Power Metal,2005,Split-up
Tytan's Claw,Japan,Power Metal,N/A,Active
Pustulus,France,Melodic Death Metal,2002,Active
Daemonizer,Germany,Progressive Metal,2005,Unknown
Disaria,United States,Symphonic Black Metal,2006,Active
Domination,Denmark,Black/Thrash Metal,N/A,Changed name
Maintower,Honduras,Heavy Metal,2005,Active
Craven,Peru,Power Metal,2003,Active
Blood,Japan,Heavy Metal/Hard Rock,1991,Split-up
Proletar,Indonesia,Death Metal/Grindcore,1999,Active
Helms Deep,United Kingdom,Thrash Metal/Crossover,1990,Split-up
Labianca,Portugal,Death Metal/Deathcore,N/A,Split-up
Hellhunter,United States,Black/Thrash Metal,2004,Active
Devil Riding Shotgun,United States,Stoner/Doom Metal,2005,Active
Zofos,Greece,Black Metal,2007,Active
Demonium,United States,Black Metal,2005,Unknown
Abraksas,Croatia,Black Metal,2005,Split-up
Aterra,United States,Black Metal,2007,Active
Rusted,Italy,Epic Gothic/Black Metal,2003,Unknown
Nightfliers,Italy,Gothic Metal,2001,Split-up
The Age of Innocence,France,Doom Metal,1996,Split-up
Exhope,France,Progressive Metal,1999,Active
Calciferum,France,Death/Black Metal,2004,Split-up
Dark Dream,Germany,Progressive Death/Thrash Metal,2003,Active
Defixio,Italy,Black Metal,1993,On hold
Maniac,France,Death Metal,2004,Active
Devileech,Portugal,Death Metal,1994,Changed name
Apocalyptic Slave,Japan,Black Metal,2006,Unknown
Armenia,Japan,Crust/Thrash Metal/Gothic,1997,Active
Terrorzone,Brazil,Death/Thrash Metal,2004,Active
Neuropraxia,United States,Death Metal/Goregrind,2005,On hold
Body of Scars,United States,Thrash/Heavy Metal,2006,Active
Amor e Morte,Bulgaria,Symphonic Black/Gothic Metal,2004,Split-up
Winter Deluge,New Zealand,Black Metal,2005,Active
Ultraphallus,Belgium,Experimental Sludge/Doom Metal,2002,Active
Matara,Germany,Death Metal/Metalcore,2005,Split-up
God Machine,United States,Stoner Metal,2005,Changed name
Demonic Halocaust,United States,Black Metal,2006,Split-up
Organ Grinder,France,Death Metal/Grindcore,2004,Split-up
Deleterious,Netherlands,Technical Black/Death Metal,2005,Active
Hindsight 20/20,United States,Heavy/Progressive/Southern Metal,N/A,Active
Ataglance,Netherlands,Thrash Metal/Metalcore,2004,Split-up
Burn,Netherlands,Heavy Metal/Hard Rock,N/A,Active
Kloof,Netherlands,Thrash/Death Metal,2007,Split-up
Noizgate,Netherlands,Groove Metal,2003,Active
Crayven,Netherlands,Heavy Metal,2006,Unknown
Suspension of Disbelieve,Netherlands,Progressive/Gothic Rock/Metal,1990,Active
Vulgar Faction,Netherlands,Groove Metal/Metalcore,2002,Active
Suiced,France,Industrial/Black Metal,N/A,Unknown
Ron 5,Chile,Progressive Metal,2001,Active
White Lilium,Germany,Progressive/Groove Metal/Metalcore,2005,Active
Maniac Saint,Austria,Progressive/Power Metal with Industrial influences,2000,Active
The Tossed,Germany,Heavy Metal,N/A,Split-up
Dimentia,Canada,Melodic Death/Thrash Metal,2005,Active
Yajaira,Chile,Stoner Metal/Rock,1995,Active
Safer,Spain,Heavy/Power Metal,N/A,Active
Wire Werewolves,United States,Experimental Black Metal,2004,Active
Lyken21,United States,Heavy Metal,N/A,Active
Colapso,Ecuador,Melodic Death Metal,2003,Active
Ered Lithui,Belgium,Black Metal,1999,Active
Skinlab,United States,"Groove Metal (early), Nu-Metal (later)",1994,Active
Casting of Shadows,United States,Experimental Black/Doom Metal,2005,Unknown
Massenhinrichtung,Belarus,Black Metal,2004,Active
Broncco,El Salvador,"Heavy Metal, Hard Rock",1974,Active
Deadfaint,Germany,Groove/Thrash Metal,2006,Unknown
Infernal Butchery,United States,Death Metal,2007,Unknown
De Silence et d'Ombre,France,Ambient/Black Metal,2007,Active
Warwulf,United States,Black Metal,2003,Active
Raising Fear,Italy,Heavy Metal,1992,Changed name
DC4,United States,Heavy Metal/Hard Rock,1997,Active
Impromtus ad Mortem,Colombia,Gothic Metal,2002,Active
Alucard,Mexico,Heavy/Power Metal,1980,Changed name
Gog,Mexico,Power Metal,N/A,Split-up
Xyster,Mexico,Power Metal,1984,Active
Abaddon,Mexico,Heavy/Speed Metal,1985,Active
Sarcoma,Ecuador,Death/Groove Metal/Grindcore,2003,Active
Crymen,Ecuador,Thrash/Death/Groove Metal,1998,Active
Masectomy,Ecuador,Death Metal/Grindcore,2005,Unknown
Rattleface,United States,Heavy Metal,N/A,Active
Hostill,Ecuador,Heavy/Power Metal,N/A,Unknown
National Suicide,Italy,Thrash Metal,2005,Active
Manthica,Ecuador,Heavy/Power/Thrash Metal,2005,Active
Anevrism,France,Thrash Metal,1993,Active
Lethal,United Kingdom,Heavy Metal,N/A,Changed name
Cruizzen,Germany,Heavy Metal/Hard Rock,2000,Active
Ãdica,Ecuador,Heavy Metal,2006,Split-up
Steel Grinder,Brazil,Heavy Metal,2000,Active
Northgate,Netherlands,Thrash Metal/Hardcore,1998,Changed name
Southern Cross,Ecuador,Melodic Power Metal,2003,Active
Alucard,Ecuador,Heavy Metal,2001,Unknown
PhÃ¶nix Rising,Germany,Heavy Metal,1998,Active
Vor Dem,United States,Black Metal,N/A,Unknown
Disbeliever,United States,Power/Thrash Metal,N/A,Unknown
Chant Ancestral,Italy,Symphonic/Gothic Metal,2001,Split-up
Natten,United States,Black Metal,2004,Active
Mouth of the Serpent,United States,Death Metal/Metalcore,2007,Active
Cobra,Argentina,Heavy Metal,2005,Active
Widescreen Mode,Finland,Heavy/Gothic Metal/Hard Rock,2004,Active
Cracked Corpuscles,Germany,Doom/Death/Gothic Metal with Rock influences,1993,Split-up
Blood of Martyrs,United States,Black Metal,2005,Active
Tyrant,Sweden,Black/Thrash Metal,2007,Active
Insomnia Astrorum,Germany,Black Metal,1997,On hold
Hexcraft,Finland,Black Metal,N/A,Split-up
Cafeterasub,Ecuador,Death/Thrash/Groove Metal,1994,Unknown
Instinto,Ecuador,Thrash/Groove Metal,2002,Active
Obscura,Ecuador,Thrash/Death/Groove Metal,N/A,Active
Whispers,Canada,Death Metal/Hardcore,2005,Unknown
Last Envoy,Canada,Progressive/Thrash Metal,2004,Unknown
Switchback,Switzerland,Metalcore/Thrash/Death Metal,1999,Active
Roger Staffelbach's Angel of Eden,Switzerland,Power Metal,2007,Active
Cromleh,Romania,Symphonic Black Metal,2002,Split-up
Inner Logic,Germany,Thrash Metal,1995,Split-up
Demon Wind,United States,Death/Black Metal,2005,On hold
Wall,United States,Thrash Metal,N/A,Split-up
ScabZ,Germany,Melodic Death/Black Metal,2004,Split-up
Iskander,Netherlands,Death Metal,N/A,Split-up
Abadden,United Kingdom,Thrash Metal,2007,Active
Letargia,Brazil,Crossover/Doom Metal/Thrash Metal,2001,Changed name
Symphony,Germany,Melodic Thrash Metal,N/A,Split-up
Bullworth,France,Death Metal,N/A,Unknown
Drexler,Germany,Heavy Metal,2004,Split-up
Neonhalo,United Kingdom,Thrash Metal,2003,Changed name
Act of Misery,Puerto Rico,Thrash Metal,1994,Split-up
Odium Inc.,Serbia,Melodic Death Metal,2005,Split-up
Lelldorin,Sweden,Heavy Metal,1997,Changed name
Abyss,France,Progressive Death Metal/Metalcore,2002,Changed name
Icaro,Spain,Power/Progressive Metal,1996,Unknown
Funeral Circle,Canada,Doom Metal,2007,Active
Rotengeist,Poland,Progressive/Thrash Metal,2005,Active
Exxor,Netherlands,Death Metal,1987,Active
Abnormal,United States,Power/Thrash Metal,1985,Split-up
In Darkness,Netherlands,Black Metal,N/A,Changed name
Wild Thing,Poland,Heavy/Thrash Metal/Hard Rock,N/A,Changed name
Bodybag,Netherlands,Death Metal,1994,Changed name
Lebewohl,Switzerland,Gothic/Doom/Death Metal,1992,Split-up
Cry Havoc,United States,Death Metal/Hardcore,2003,Active
Elephant Man,Germany,Death Metal/Deathcore,2006,Changed name
Law of Destruction,United States,Thrash/Groove Metal,2005,Active
T.H.C.,United States,Crossover/Thrash Metal,1983,Active
Nuptiae,Portugal,Funeral Doom Metal,2007,Active
Revenance,United States,Thrash Metal,1997,Split-up
Morbid Temptation,United States,Death Metal,N/A,Split-up
Hellwinter,Germany,Death Metal,2006,Split-up
Coma,Germany,Black Metal,2004,Unknown
Kardacheron,Czech Republic,Black Metal,2005,Active
Dean Harder,Germany,Heavy Metal,2007,Active
Sacro,Mexico,Power/Speed Metal,1985,Changed name
Obertura,Mexico,Heavy Metal,N/A,Split-up
Incest,Mexico,Power/Thrash Metal,1989,Changed name
Castlow,Mexico,Thrash Metal,1989,Changed name
Oro Verde,Mexico,Heavy Metal,1981,Split-up
Oakenshield,United Kingdom,Viking/Folk Metal,2007,Active
Izckra,Mexico,Power/Speed/Folk Metal,1984,Split-up
Lifeless,Brazil,Heavy/Power Metal,N/A,Split-up
Santa Muerte,Mexico,Thrash Metal,N/A,Split-up
La Santa Mentira,Mexico,Heavy Metal,1996,Split-up
Malphas,France,Black Metal,2007,Active
The Matt Parsons Band,United States,Symphonic Black/Death Metal,2007,Changed name
Nemesis,Italy,Melodic Death Metal,2006,Unknown
Mortuary,Czech Republic,Thrash/Death Metal,1991,Active
The Now Noise!,Germany,Thrash/Death Metal/Grindcore,1997,Split-up
Vai Ficar Preto,Croatia,Death Metal/Grindcore,2004,Split-up
Ismiltar,Russia,Atmospheric Black Metal,N/A,Split-up
Mindblizz,Sweden,Doom/Heavy Metal/Hard Rock,1993,Active
Mglamrak,Russia,Melodic Death/Black Metal,2004,Active
Mortemirus,Russia,Thrash/Death Metal,1993,Split-up
Ð¡Ð»ÑÐ¶Ð¸ÑÐµÐ»Ð¸ ÐÑÑÐ·,Russia,Melodic Black Metal,N/A,Split-up
Ð¡ÐµÑÑ,Russia,Pagan Black Metal,1998,Split-up
Aesmadiv,Russia,Atmospheric Black Metal,1998,Split-up
Agasfer,Russia,Black Metal,N/A,Split-up
Vril Metal,Argentina,Power/Heavy Metal,1999,Active
Coatl,Mexico,Heavy Metal,N/A,Active
Patibulo,Mexico,Heavy Metal,N/A,Split-up
Candle in the Dark,Russia,Black/Doom/Dark Metal,1993,Split-up
Angels Beneath Me,United States,Melodic Death Metal/Metalcore,2003,Active
Flaygoth,Russia,Black/Viking Metal,1998,Active
Iceni,United Kingdom,Black Metal,2005,Active
Erisyde,Guam,Melodic Death Metal/Metalcore,2006,On hold
Espostoa,United Kingdom,Doom Metal,N/A,Split-up
Claustrophobia,Netherlands,Black Metal,2002,Split-up
ZerstÃ¶rung,Brazil,Black Metal,1999,Active
Ingrimm,Germany,Folk/Medieval Metal,2006,Active
Reincremation,Russia,Death Metal,1994,Split-up
The Council,United States,Metalcore,2004,Split-up
Imperialist,Sweden,Thrash Metal,2005,Active
Aldebaran,Italy,Black Metal,1996,Split-up
Evading Downfall,Bosnia and Herzegovina,Melodic Death Metal/Metalcore,2006,Split-up
Cryptal Spectres,Poland,Black Metal,2006,Active
Essex,Germany,Melodic Heavy Metal,N/A,Split-up
Slutfreax,Germany,Heavy Metal/Hard Rock,N/A,Split-up
Magic Power,Germany,Heavy Metal,1988,Split-up
Chainbreaker,Germany,Heavy Metal,1981,Split-up
Black Inquisition,Ukraine,Black Metal,1995,Split-up
V2,Germany,Heavy Metal/Hard Rock,1988,Split-up
Alone in the Silence,Czech Republic,Melodic Death Metal/Metalcore,2005,Split-up
Sumrak Ideja,Croatia,Heavy Metal/Hard Rock,1985,Split-up
Occasion,Netherlands,Heavy Metal/Hard Rock,N/A,Active
Eternal,United Kingdom,Doom Metal,1992,Changed name
Thy Grief Eternal,United Kingdom,Doom/Death Metal,1991,Changed name
Supernaut,United Kingdom,Heavy/Doom Metal,1973,Split-up
KrÃ¤hennebel,Austria,Black Metal,2006,Active
Leper Bastard,Mexico,Brutal Death Metal,2004,Active
Blodhemn,France,Death Metal,2005,Changed name
My Decadence,Germany,Metalcore/Thrash/Death Metal,2006,Active
Die as One,United States,Metalcore,2005,Split-up
Unkempt,United States,Melodic Death Metal/Metalcore,2002,Active
Chthonian Alchemy,Greece,Gothic/Doom Metal,2006,Active
Almost Is Nothing,United States,Thrash Metal/Metalcore,2004,Split-up
Within the Ruins,United States,"Metalcore (early), Progressive Metalcore (later)",2005,Active
Queen Annes Revenge,United States,Metalcore,2005,Split-up
Flagellant,Sweden,Black Metal,2007,Active
Esquizoide,Chile,Doom/Stoner Metal,2005,Unknown
Tabernarios,Chile,Heavy Metal/Hard Rock/Southern Rock,2001,Active
Sacrosanct,United States,Melodic Death/Power Metal,2005,Split-up
Matanza,Mexico,Death Metal/Goregrind,2005,Active
In Normandy,United States,Melodic Death Metal/Metalcore,N/A,Active
Animus,United States,Thrash Metal/Metalcore,1999,Split-up
Death Court,Germany,Melodic Death/Thrash Metal,2004,Split-up
Alex Scire,United States,Heavy/Sludge Metal,N/A,Active
Undivided,United States,Thrash/Groove Metal/Crossover,1996,Active
Sirath,United States,Heavy Metal,N/A,Split-up
Salent,United States,Thrash Metal,N/A,Split-up
Exorcizer,France,Thrash Metal,2000,Active
T-Bone,Germany,Melodic Heavy Metal,1990,Active
Demolition,Australia,Thrash Metal,2007,Active
Winterstorm,Spain,Black Metal,2006,Active
Azog,Croatia,Heavy Metal,2003,Unknown
Enthrone,Norway,Black Metal,1990,Changed name
Ray B,Italy,"Hard Rock, Heavy Metal",2006,Split-up
Living Force,Hungary,Heavy/Power Metal,2006,Changed name
Medagh,United States,Melodic Death/Black Metal,2003,Split-up
Andre C. Avanessian,United States,Folk/Dark Metal,2004,Unknown
Nakhzar,Finland,Black Metal,2006,Split-up
Sangrar,United States,Death Metal/Metalcore,N/A,Active
Migas,United States,Heavy/Thrash Metal,N/A,Active
The Storm,United States,Melodic Death Metal/Metalcore,2003,Active
Crash Kennedy,United States,Thrash/Groove Metal,1998,Active
Hate Induced Coma,United Kingdom,Groove Metal,2006,Active
Shadowcry,Austria,Melodic Death Metal,2005,Split-up
Gastric Haemorrhage,Serbia,Brutal Death Metal/Grindcore,2005,Active
Satanic Syndrome,Germany,Melodic Gothic/Black Metal,2007,Active
Entropy,United States,Thrash Metal,N/A,Split-up
Into My Houses,Finland,Progressive Metal,2006,Active
Mzoraxc,Denmark,Black Metal,2006,Split-up
Rahowa,France,Black Metal/Folk/Ambient,2005,Split-up
Arcanum,Spain,Heavy/Power Metal,2003,Active
Menagerie,United States,Gothic/Progressive Metal/Rock,N/A,Active
Min Kniv,Norway,Black Metal,2003,Split-up
Profanal,Italy,Death Metal,2005,Active
Blessed Sinners,Sweden,Melodic Heavy Metal,2007,Split-up
Sudefed,Australia,Thrash/Speed Metal,1987,Split-up
Valium,Croatia,Power/Progressive Metal,2006,Unknown
Dis.da.in.,Italy,Groove Metal,N/A,Split-up
Dark Island,Italy,Power/Thrash Metal,2003,Unknown
Bolthard,Romania,Thrash/Death/Progressive Metal,2001,Active
Misfit,United States,Heavy Metal,1982,Changed name
House of Low Culture,United States,"Drone/Doom Metal, Ambient, Experimental",2000,Active
Mind's Eye,United States,Heavy Metal,1988,Split-up
Grind,United States,Heavy Metal,1991,Split-up
MotÃ¶rpenis,Portugal,Thrash Metal,1997,Active
Erythuria,Malta,Brutal Death Metal,2003,Split-up
Discordia,United States,Technical Death Metal,2006,Split-up
Cesio,Chile,Death Metal,2001,Active
Nocturnal Silence,Netherlands,Brutal Death Metal,1994,Changed name
Tartaros,Germany,Thrash Metal,1984,Changed name
EslabÃ³n,Uruguay,Heavy/Thrash Metal,2002,Active
V:O:I:D,Norway,Industrial Death/Black Metal,1998,Split-up
Gideons Pawn,United States,Heavy/Thrash Metal,N/A,Active
Immemoratus,Poland,Black/Death Metal,2003,Split-up
Retrodemon,United States,Thrash Metal/Stoner/Hard Rock,2005,Active
Plaguesayer,United States,Death/Thrash Metal/Metalcore,N/A,Active
Lob of Lemmings,Denmark,Progressive Thrash Metal,N/A,Split-up
Janesession,Slovakia,Heavy Metal/Hard Rock,2004,Active
Gazdasgrind,Slovakia,Death Metal/Grindcore,1998,Active
Tears of Valiance,Netherlands,Melodic/Progressive Metal,2004,Changed name
Bow at the Altar of the Riff,Finland,Doom Metal,2007,Unknown
Indyus,Austria,Death/Thrash Metal,2004,Unknown
Hare,Switzerland,Heavy/Groove Metal,1993,Split-up
Idiom,United Kingdom,Progressive Metal,2005,Split-up
Tesa,Latvia,Progressive/Sludge Metal/Post-Hardcore,2005,Active
Aeon of Horus,Australia,Progressive/Technical Death Metal,2006,Active
Cargal,France,Death Metal,N/A,Active
Silencio,United States,Heavy Metal/Hard Rock,2003,Active
Stortregn,Switzerland,Black/Death Metal,2006,Active
Ian,United States,Death/Thrash Metal,N/A,Active
Vardlokkur,Denmark,Pagan Black Metal,N/A,Split-up
Uma Aquelarre,Mexico,Power Metal,2002,Split-up
Arturo Cardenas,United States,Heavy Metal,N/A,Unknown
David Clerest Project,United States,Heavy Metal,N/A,Active
Jaded,United States,Heavy Metal/Hard Rock,2004,Active
æ¢¦é­,China,Progressive Metal,2000,Active
Prowler,United States,Heavy Metal,1981,Split-up
Vaginal Destruction,United States,Stoner/Doom Metal,2005,Split-up
Ziel Bevrijd,Canada,Atmospheric Black Metal,2007,Active
Fiend,United States,Heavy Metal,N/A,Active
Zombie Virus Infection,International,Brutal Death Metal/Grindcore,2007,Split-up
Prisoner,Germany,Heavy Metal,1982,Active
Meathook,United States,Heavy Metal,2001,Split-up
Vigilance,United States,Heavy Metal,1986,Split-up
Ashler,Ecuador,"Progressive, Gothic Metal/Rock",2003,Split-up
Crucifice,United States,Death/Thrash Metal,2006,Active
Ritual Abuse,United Kingdom,Death Metal,N/A,Active
Sanguinary,United States,Thrash Metal,1989,Split-up
Outshined,United Kingdom,Melodic Groove/Thrash Metal,1992,Split-up
Sub-Sore,Germany,Thrash/Power Metal,N/A,Split-up
Fade to Black,Macedonia (FYROM),Symphonic/Gothic Metal,2006,Split-up
Syringe,Germany,Thrash/Death Metal with Hardcore influences,1992,Split-up
One,United States,Heavy Metal,N/A,Split-up
Tearz of Age,Germany,Melodic Heavy Metal,N/A,Split-up
Distoxity,Russia,Melodic Death Metal,N/A,On hold
Unspoken,Denmark,Thrash/Heavy Metal,2002,Split-up
Abreast,Germany,Death/Thrash Metal/Hardcore,1995,Split-up
Victim,Croatia,Melodic/Progressive Black Metal,N/A,Unknown
Beyond Symmetry,Germany,Progressive Death Metal,N/A,Split-up
Pitfall,Germany,Black Metal,N/A,Split-up
Eternal Decay,Israel,Black Metal,2001,Active
Eternal Decay,Germany,Thrash/Death Metal,N/A,Split-up
Agony,Germany,Black/Death Metal,N/A,Split-up
Godbomb,Germany,Power/Thrash Metal,1985,Split-up
Resurreccion,Peru,Heavy Metal,1999,Unknown
Satanic Death,Netherlands,Raw Black Metal/Noise,1990,Split-up
Venusian Death Cell,Ireland,Black/Death Metal,N/A,Active
Tugurios,Colombia,Ambient/Black Metal,2001,Split-up
Victorious War,China,Progressive Metal,2004,Active
Drown in Hate,Finland,Groove Metal,N/A,Active
Tristerra,Chile,Doom/Black Metal,2006,Active
Joy Machine,Poland,Melodic Heavy Metal/Hard Rock,2006,Active
Voice of Revenge,Germany,Death Metal,2005,Active
Solisia,Italy,Progressive Metal/Rock,2006,Active
Worst Enemies,Italy,Thrash/Death Metal,2002,Active
Mistress,Spain,Power/Thrash Metal,N/A,Split-up
Scum of the Earth,United States,Thrash Metal/Crossover,1987,Split-up
Apparition,Netherlands,Melodic Death Metal,2003,Active
Atra Hora,Russia,"Black Metal (early), Melodic Death/Black Metal (later)",2006,Active
Spinal Chill,Belgium,Black Metal,1999,Changed name
Emetica,Serbia,Death Metal/Grindcore,2000,Active
Discordia,Mexico,Heavy Metal,2004,Active
Infierno 99,Uruguay,Heavy Metal,2006,Active
Austera Existencia,Uruguay,Thrash Metal,2004,Unknown
Sea of Black,United States,Stoner Metal,2003,Split-up
Pecho e' Fierro,Uruguay,Folk/Heavy Metal,1998,Active
Eklyps,France,Folk Metal/Rock,1999,Active
Murder Basket,United States,Death Metal/Grindcore,1993,Split-up
Hidden in Eternity,France,Symphonic Doom/Gothic/Black Metal,2001,Active
Sacred Imperium,Malaysia,Melodic Black Metal,2005,Unknown
Throm,Croatia,Doom/Drone/Sludge Metal,2007,Unknown
Oddium,Brazil,Thrash Metal,2004,Active
Abyssal,Brazil,Thrash Metal,2004,Unknown
Especievil,Brazil,Heavy/Doom Metal,1997,Active
Riotor,Canada,Death/Thrash Metal,2007,Active
Brett Miller,United States,"Progressive Metal, Shred",N/A,Active
Defiler,United States,Death/Thrash Metal,N/A,Active
Le Grand Guignol,Germany,Symphonic Extreme Metal,2006,On hold
Embrace the Day,United States,Groove Metal/Metalcore,N/A,Unknown
Scruffy Tearaways,United States,Thrash Metal/Crossover,1988,Split-up
Fearlight,Russia,"Doom/Gothic (early), Pagan/Folk Metal (later)",2005,Active
HnisavÃ½ Proces,Slovakia,Death Metal/Grindcore,N/A,Split-up
Wolfenhords,Croatia,"Black Metal (early), Black/Thrash Metal (later)",2005,Active
Blasphemous,United States,"Thrash Metal, Crossover",1985,Split-up
Necrofili,Italy,Death Metal,2005,Active
Rautakuuri,Finland,Thrash/Heavy Metal,2004,Split-up
Infinite Hate Project,India,Brutal Death Metal,2005,Split-up
Sanctum Sanguis,Sweden,Black Metal,2007,Active
Begging for Incest,Germany,Brutal Death Metal/Deathcore,2007,Active
Bone Shaker,United States,Heavy Metal,2007,Unknown
Time to Kill,United States,Thrash Metal,2006,Active
Narcosis,Ecuador,Thrash Metal,1984,Active
Sanguis,United States,Thrash Metal,N/A,Split-up
Orwell,United States,Melodic Death Metal/Metalcore,2004,Active
And Hope to Die,United States,Melodic Death/Thrash Metal/Metalcore,N/A,Active
Valkyrie,United States,Thrash/Speed Metal,1985,Split-up
Viking Funeral,United States,Doom/Thrash Metal,N/A,Unknown
Mjollnir,United States,Black Metal,2006,Active
Niebelungen,France,Technical Death Metal,2000,Split-up
Withate,Italy,Thrash Metal,2006,Active
Gravenveld IX,Netherlands,Black/Death Metal,2006,Split-up
Anticosm,United States,Black/Thrash Metal,2003,Active
Eclampsy,Uruguay,"Thrash/Death Metal (early), Melodic Death Metal (later)",1990,Split-up
Jacob Hansen,Denmark,Death Metal,1988,Split-up
Crematorium,Uruguay,Death/Thrash Metal,N/A,Split-up
Mathias,United Kingdom,Heavy Metal,N/A,Active
Azaigoth,Colombia,Black/Thrash Metal,2002,Active
Attacker Bloody Axe,Chile,Thrash Metal,N/A,Active
Jet Trail,Sweden,Melodic Heavy Metal,2005,Active
Parasytic,United States,Thrash Metal/Crust,2006,Active
Decayed Catacomb,Slovenia,Doom Metal,1995,Changed name
Catacomb,Slovenia,Doom Metal,1994,Changed name
Art Like Destruction,Sweden,Melodic Death Metal/Metalcore,2006,Active
ç´«ç¯,China,Thrash/Heavy Metal,1994,Split-up
Degrees of Sanity,United States,Power/Thrash Metal,N/A,Active
Drohtnung,Australia,Depressive Black Metal/Noise,2004,Active
Orenda,Finland,Stoner Rock/Metal,2001,Active
Amputee,United States,Death Metal/Grindcore,1991,Split-up
Forest Mysticism,Australia,Black Metal,2006,Split-up
Larmes d'Hivers,Australia,Black Metal,N/A,Split-up
Glam Dycinn,France,Black Metal,N/A,Split-up
A Waste of Talent,Norway,Doom/Groove Metal,1992,Unknown
Angrepp,Sweden,Black/Thrash Metal,2005,Active
Sulphureous Church,Italy,Black Metal,1996,Split-up
Beyond Hatred,Italy,Death/Thrash Metal,1995,Split-up
AmadeÃ¼s,Spain,Heavy/Power Metal,2005,On hold
Deathadorn,France,Death/Thrash Metal,2003,Active
Diskarial,France,Black/Death Metal,2003,Active
Dismal Death,France,Death Metal/Grindcore,1991,Split-up
The Death of Her Money,United Kingdom,Sludge Metal/Post-Hardcore,2004,Active
Terrorist,United States,Crossover Thrash/Speed Metal,N/A,Active
Mordant,United Kingdom,Heavy/Thrash Metal,2002,Active
Ciementificio,Italy,Thrash Metal,2004,Active
Tears of the Sun,Portugal,Groove Metal,N/A,Unknown
The Burning,United States,Doom Metal,N/A,Split-up
Dominion,United States,Death Metal,N/A,Split-up
Darkseeds,France,Thrash Metal,2005,Active
